Catégorie,Question,Option A,Option B,Option C,Bonne Réponse
Histoire et Géo,Qui était Paul Cézanne ?,Un peintre,Un musicien,Un juge,A
Histoire et Géo,Qu'est-ce que le Louvre ?,Un musée célèbre,Une église,Une montagne,A
Vie en société,"Après le permis, que faut-il pour conduire ?",Une assurance et la carte grise,Juste le permis,Rien de plus,A
Vie en société,À quelle condition un mariage est reconnu ?,S'il est célébré par un officier d'état civil,S'il est religieux,S'il y a une grande fête,A
Vie en société,Quand déclarer un enfant à la mairie ?,Dans les jours suivant la naissance,Après 1 an,Au moment de l'école,A
Vie en société,Le travail non déclaré est :,Interdit et puni par la loi,Autorisé,Encouragé,A
Vie en société,Quelle est la démarche pour chercher un emploi ?,S'inscrire à France Travail,Appeler la mairie,Ne rien faire,A
Vie en société,Qui est aidé par France Travail ?,Les demandeurs d'emploi,Les enfants,Les retraités,A
Vie en société,À partir de quel âge un mineur peut-il travailler ?,16 ans (avec exceptions),10 ans,12 ans,A
Vie en société,"En cas de problème de santé non urgent, qui voir ?",Son médecin traitant,Les urgences,La police,A
Vie en société,Quel est le rôle du médecin traitant ?,Soigner et orienter le patient,Vendre des médicaments,Diriger l'hôpital,A
Vie en société,À quoi sert une mutuelle santé ?,Compléter les remboursements de la Sécurité sociale,Remplacer la carte Vitale,Payer le loyer,A
Vie en société,L'autorité parentale prévoit l'obligation :,"De protéger, nourrir et éduquer l'enfant",De faire travailler l'enfant,De ne pas scolariser l'enfant,A
Vie en société,Quel diplôme obtient-on à la fin du lycée ?,Le Baccalauréat,Le Brevet,La Licence,A
Vie en société,Dans quel établissement va-t-on après l'élémentaire ?,Au collège,À l'université,À la crèche,A
