Type d'Examen,Catégorie,Question,Option A,Option B,Option C,Bonne Réponse
CR,Système politique,Où est le siège de la Commission européenne ?,Strasbourg,Bruxelles,Luxembourg,B
CR,Droits et devoirs,À quelle liberté la PMA fait-elle référence ?,Liberté de circulation,Liberté de fonder une famille,Liberté de culte,B
CR,Droits et devoirs,Au nom de quoi l'État peut-il restreindre certains droits ?,L'ordre public,L'intérêt personnel du Président,Le hasard,A
CR,Droits et devoirs,Que prévoit la Charte de l'environnement ?,Le droit de polluer,Le droit de vivre dans un environnement équilibré,Rien d'obligatoire,B
CR,Droits et devoirs,Que signifie la dignité humaine ?,Le respect de la personne en toutes circonstances,Avoir beaucoup d'argent,Être célèbre,A
CR,Droits et devoirs,Que signifie le droit de manifester ?,Le droit d'exprimer son mécontentement collectivement,Le droit de casser,Le droit de bloquer sans limite,A
CR,Droits et devoirs,"Concernant les réseaux sociaux, quelle proposition est correcte ?",On peut tout dire sans risque,La loi s'y applique aussi (haine interdite),C'est une zone sans loi,B
CR,Droits et devoirs,Quel exemple illustre une limitation de liberté pour l'intérêt général ?,Le code de la route,L'interdiction de lire,L'obligation de manger,A
CR,Histoire et Géo,Quel était le surnom de Louis XIV ?,Le Roi-Soleil,Le Hardi,Le Bien-Aimé,A
CR,Histoire et Géo,De quand date l'appel à la résistance du général de Gaulle ?,18 juin 1940,11 novembre 1918,8 mai 1945,A
CR,Histoire et Géo,Quelle est la première étape de la construction européenne en 1951 ?,La CECA,L'Euro,L'espace Schengen,A
CR,Histoire et Géo,Quel régime politique a été mis en place en 1792 ?,La Ière République,Le Premier Empire,La Monarchie,A
CR,Histoire et Géo,Quelle organisation internationale a été créée en 1945 ?,L'ONU,L'Union Européenne,L'OTAN,A
CR,Histoire et Géo,Que fête-t-on le 8 mai ?,La victoire de 1945,La fin de la 1ère guerre,La fête du travail,A
CR,Histoire et Géo,Quelle est la population approximative de la France en 2025 ?,50 millions,68 millions,80 millions,B
CR,Histoire et Géo,Combien de personnes parlent français dans le monde ?,100 millions,Environ 320 millions,1 milliard,B
CR,Histoire et Géo,Qui était Marguerite Yourcenar ?,Une grande écrivaine,Une reine,Une chanteuse,A
CR,Vie en société,Quel mariage est reconnu par l'État ?,Le mariage civil (à la mairie),Le mariage religieux,Le mariage coutumier,A
CR,Vie en société,"En cas de divorce, qui exerce l'autorité parentale ?",Le père uniquement,La mère uniquement,Les deux parents (sauf décision du juge),C
CR,Vie en société,Quelle aide permet d'avoir un avocat gratuitement ?,L'aide juridictionnelle,Le RSA,La prime d'activité,A
CR,Vie en société,À qui est accessible la contraception ?,À toutes les femmes,Seulement aux femmes mariées,Seulement aux majeures,A
CR,Vie en société,Qu'est-ce que le principe de confidentialité en santé ?,Le secret médical,L'obligation de tout dire,Le partage des données sur internet,A
CR,Vie en société,Quelles sont les affaires traitées par les Prud'hommes ?,Les litiges liés au contrat de travail,Les vols,Les divorces,A
CR,Vie en société,Des parents ne respectent pas l'obligation d'instruction. Ils risquent :,Rien,Une amende et une peine de prison,Un simple avertissement,B
CR,Vie en société,Comment s'appelle l'enfant en situation de handicap à l'école ?,Il est inclus (élève à besoins éducatifs particuliers),Il ne peut pas aller à l'école,Il reste chez lui,A
