Catégorie,Question,Option A,Option B,Option C,Bonne Réponse
Histoire et Géo,Quand a eu lieu la 1ère Guerre mondiale ?,1914-1918,1939-1945,1911-1913,A
Histoire et Géo,Date de l'abolition définitive de l'esclavage ?,1789,1848,1905,B
Histoire et Géo,Qui a fondé la Ve République ?,François Mitterrand,Charles de Gaulle,Jean Jaurès,B
Histoire et Géo,Quelle est la capitale de la France ?,Marseille,Lyon,Paris,C
Histoire et Géo,Combien de régions en France métropolitaine ?,10,13,22,B
Histoire et Géo,Qui était Molière ?,Un roi,Un auteur de théâtre,Un général,B
Histoire et Géo,Qui était Joséphine Baker ?,Une chanteuse et résistante,Une reine,Une espionne ennemie,A
Vie en société,Numéro d'urgence SAMU ?,15,17,18,A
Vie en société,Numéro d'urgence Pompiers ?,15,17,18,C
Vie en société,Qu'est-ce que le SMIC ?,Une assurance,Le salaire minimum,Un impôt,B
Vie en société,Durée légale du travail par semaine ?,35h,39h,40h,A
Vie en société,À quoi sert la carte Vitale ?,Payer le train,Remboursement des soins,Voter,B
Vie en société,Jusqu'à quel âge l'école est obligatoire ?,14 ans,16 ans,18 ans,B
